QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20212,04424684,15,0,5,01,D,105,D,2019,D,,A,36,D,02,D,460,D,3,D,,A,1000,D,1000,D,,A,,A,460,D,460,D,460,D,60,D,60,D,60,D,1000,D,,A,D,,A,2019,D,MAZ
20212,04424874,16,0,5,01,D,105,D,2019,D,,A,24,D,12,F,266,D,3,D,,A,,A,,A,,A,,A,266,D,266,D,266,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20212,04424874,17,0,5,02,D,105,D,2018,D,,A,36,D,01,D,295,D,3,D,,A,,A,,A,,A,01,D,295,D,,A,,A,,A,,A,,A,,A,,A,D,,A,2018,D,CHE
20212,04424874,18,0,1,03,D,105,D,2020,D,,A,36,D,02,D,280,D,3,D,,A,500,F,,A,,A,,A,,A,280,D,280,D,,A,,A,,A,,A,,A,D,,A,2021,D,CHE
20212,04425424,11,0,5,01,D,105,D,2019,D,,A,36,D,09,D,336,D,3,D,,A,,A,,A,,A,,A,336,D,336,D,336,D,,A,,A,,A,,A,,A,D,,A,2019,D,SUB
20212,04425424,12,0,5,02,D,105,D,,C,,A,,C,10,F,,C,,C,,A,,A,,A,,A,,A,500,F,500,F,500,F,,A,,A,,A,,A,,A,A,,A,2018,F,
20212,04425764,10,0,5,01,D,105,D,2019,D,,A,36,D,12,D,250,D,3,D,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,D,,A,2018,D,TOY
20212,04426124,7,0,5,01,D,105,D,2019,D,,A,36,D,06,D,540,D,3,D,,A,,A,4000,D,,A,,A,540,D,540,D,540,D,,A,,A,,A,4000,D,,A,D,,A,2019,D,GMC
20212,04427084,6,0,5,01,D,105,D,2018,D,,A,48,D,05,D,380,D,3,D,,A,,A,,A,,A,,A,380,D,380,D,380,D,100,D,100,D,100,D,,A,,A,D,,A,2018,D,NIS
20212,04427324,6,0,1,01,D,105,D,2016,D,,A,24,D,08,D,361,D,3,D,,A,,A,3000,D,,A,,A,361,D,361,D,361,D,,A,,A,,A,3000,D,,A,D,,A,2020,D,MRB
20212,04427484,12,0,5,01,D,105,D,2020,D,,A,35,D,08,D,600,D,3,D,,A,,A,2000,D,,A,,A,600,D,600,D,600,D,,A,,A,,A,2000,D,,A,D,,A,2020,D,LEX
20212,04428834,11,0,5,01,D,105,D,2020,D,,A,48,D,07,D,307,D,3,D,,A,16000,D,,A,,A,,A,307,D,307,D,307,D,25,D,25,D,25,D,,A,,A,D,,A,2020,D,LEX
20212,04428874,39,0,5,02,D,105,D,2019,D,,A,36,D,04,D,300,D,3,D,,A,15000,D,7000,D,,A,,A,300,D,300,D,300,D,,A,,A,,A,7000,D,,A,D,,A,2020,D,VOK
20212,04429374,18,0,5,01,D,105,D,2019,D,,A,26,D,02,D,348,D,3,D,,A,,A,3000,D,,A,,A,348,D,348,D,348,D,,A,,A,,A,3000,D,,A,D,,A,2020,D,ALF
20212,04429994,16,0,5,01,D,105,D,2018,D,,A,36,D,04,D,392,D,3,D,,A,,A,1000,D,,A,02,D,392,D,392,D,,A,,A,,A,,A,1000,D,,A,D,,A,2019,D,FOR
20212,04430084,19,0,5,01,D,105,D,2020,D,,A,36,D,07,D,350,D,3,D,,A,,A,5000,D,,A,,A,350,D,350,D,350,D,,A,,A,,A,5000,D,,A,D,,A,2020,D,CHE
20212,04430254,10,0,5,01,D,105,D,2019,D,,A,36,D,08,D,446,D,3,D,,A,,A,559,D,,A,,A,446,D,446,D,446,D,,A,,A,,A,559,D,,A,D,,A,2019,D,TOY
20212,04430434,23,0,5,01,D,105,D,2018,D,,A,60,D,03,D,420,D,3,D,,A,,A,3000,D,,A,,A,420,D,420,D,420,D,,A,,A,,A,3000,D,,A,D,,A,2020,D,NIS
20212,04430834,18,0,5,01,D,105,D,2018,D,,A,36,D,10,D,295,D,3,D,,A,,A,1000,D,,A,,A,295,D,295,D,295,D,,A,,A,,A,1000,D,,A,D,,A,2018,D,NIS
20212,04430844,10,0,5,01,D,105,D,2019,D,,A,12,D,07,D,500,D,3,D,,A,,A,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2019,D,FOR
20212,04431704,11,0,5,02,D,105,D,2021,D,,A,24,D,01,D,280,D,3,D,,A,,A,1500,D,,A,,A,280,D,280,D,280,D,,A,,A,,A,1500,D,,A,D,,A,2021,D,CHE
20212,04461454,4,0,5,01,D,105,D,2014,D,,A,,C,05,F,300,D,3,D,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2019,F,FOR
20212,04461824,16,0,5,01,D,105,D,2019,D,,A,36,D,06,D,325,D,3,D,,A,,A,2000,D,,A,,A,325,D,325,D,325,D,,A,,A,,A,2000,D,,A,D,,A,2019,D,HYU
20212,04462174,8,0,5,01,D,105,D,2018,D,,A,36,D,03,D,216,D,3,D,,A,300,D,1500,D,,A,02,D,216,D,,A,,A,,A,,A,,A,1500,D,,A,D,,A,2018,D,CHE
20212,04462174,9,0,1,02,D,105,D,2021,D,,A,36,D,02,D,230,D,3,D,,A,,A,1300,D,,A,,A,230,D,230,D,230,D,,A,,A,,A,1300,D,,A,D,,A,2021,D,CHE
20212,04462824,14,0,5,01,D,105,D,2020,D,,A,36,D,12,D,399,D,3,D,,A,,A,,A,,A,,A,399,D,399,D,399,D,,A,,A,,A,,A,,A,D,,A,2019,D,KIA
20212,04463244,13,0,5,01,D,105,D,2019,D,,A,36,D,04,D,247,D,3,D,,A,,A,3000,D,,A,,A,247,D,247,D,247,D,,A,,A,,A,3000,D,,A,D,,A,2019,D,DOD
20212,04463554,12,0,5,01,D,105,D,2018,D,,A,36,D,08,D,303,D,3,D,,A,,A,,A,,A,03,D,303,D,303,D,,A,,A,,A,,A,,A,,A,D,,A,2018,D,TOY
20212,04463554,13,0,1,02,D,105,D,2021,D,,A,48,D,04,D,248,D,3,D,,A,,A,,A,,A,,A,,A,,A,248,D,,A,,A,,A,,A,,A,D,,A,2021,D,TOY
20212,04463904,15,0,5,01,D,105,D,2018,D,,A,36,D,03,D,230,D,3,D,,A,,A,1000,D,,A,,A,230,D,230,D,230,D,,A,,A,,A,1000,D,,A,D,,A,2018,D,JEE
20212,04463904,16,0,5,02,D,105,D,2019,D,,A,42,D,03,D,256,D,3,D,,A,,A,,A,,A,,A,256,D,256,D,256,D,,A,,A,,A,,A,,A,D,,A,2020,D,JEE
20212,04464604,18,0,5,01,D,105,D,2020,D,,A,36,D,07,D,450,D,3,D,,A,,A,1800,D,,A,,A,450,D,450,D,450,D,25,D,25,D,25,D,1800,D,,A,D,,A,2020,D,LEX
20212,04465574,12,0,5,01,D,105,D,2019,D,,A,39,D,06,D,638,D,3,D,,A,,A,,A,,A,,A,638,D,638,D,638,D,,A,,A,,A,,A,,A,D,,A,2018,D,LEX
20212,04465994,13,0,5,01,D,105,D,2016,D,,A,48,D,01,D,600,D,3,D,,A,,A,2000,D,,A,,A,600,D,600,D,600,D,,A,,A,,A,2000,D,,A,D,,A,2017,D,DOD
20212,04466284,13,0,5,01,D,105,D,2018,D,,A,36,D,04,D,200,D,3,D,,A,,A,3000,D,,A,,A,200,D,200,D,200,D,,A,,A,,A,3000,D,,A,D,,A,2018,D,FOR
20212,04466654,19,0,5,01,D,105,D,2020,D,,A,36,D,03,D,300,D,3,D,,A,,A,1800,D,,A,,A,300,D,300,D,300,D,,A,,A,,A,1800,D,,A,D,,A,2020,D,FOR
20212,04466654,21,0,5,03,D,105,D,2021,D,,A,12,D,12,D,400,D,3,D,,A,,A,,A,,A,,A,400,D,400,D,400,D,50,D,50,D,50,D,,A,,A,D,,A,2020,D,FOR
20212,04466944,16,0,5,01,D,105,D,2018,D,,A,36,D,06,D,550,D,3,D,,A,,A,,A,,A,03,D,550,D,550,D,,A,,A,,A,,A,,A,,A,D,,A,2018,D,MRB
20212,04466944,17,0,1,02,D,105,D,2021,D,,A,60,D,04,D,550,D,3,D,,A,,A,2500,D,,A,,A,,A,,A,550,D,,A,,A,,A,2500,D,,A,D,,A,2021,D,MRB
20212,04467554,18,0,5,01,D,105,D,2018,D,,A,36,D,03,D,1200,D,3,D,,A,,A,1400,D,,A,,A,1200,D,1200,D,1200,D,,A,,A,,A,1400,D,,A,D,,A,2017,D,POR
20212,04467634,8,0,1,02,D,105,D,2013,D,,A,60,D,01,D,410,D,3,D,,A,,A,2500,D,,A,,A,410,D,410,D,410,D,,A,,A,,A,2500,D,,A,D,,A,2019,D,FOR
20212,04468084,4,0,5,01,D,105,D,2017,D,,A,,C,10,F,250,D,3,D,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,D,,A,2018,F,HYU
20212,04468144,21,0,5,01,D,105,D,2019,D,,A,36,D,10,D,350,D,3,D,,A,,A,500,D,,A,,A,350,D,350,D,350,D,20,D,20,D,20,D,500,D,,A,D,,A,2019,D,JEE
20212,04468144,23,0,5,03,D,105,D,2020,D,,A,39,D,10,D,570,D,3,D,,A,,A,,A,,A,,A,570,D,570,D,570,D,,A,,A,,A,,A,,A,D,,A,2020,D,VOK
20212,04468514,24,0,5,01,D,105,D,2018,D,,A,39,D,08,D,320,D,3,D,,A,,A,1200,D,,A,,A,320,D,320,D,320,D,,A,,A,,A,1200,D,,A,D,,A,2018,D,MAZ
20212,04468524,9,0,1,01,D,105,D,2021,D,,A,36,D,05,D,,C,3,D,,A,,A,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,1200,D,,A,D,,A,2021,D,HON
20212,04468754,18,0,5,01,D,105,D,2020,D,,A,36,D,03,D,435,D,3,D,,A,,A,,A,,A,,A,435,D,435,D,435,D,,A,,A,,A,,A,,A,D,,A,2020,D,NIS
20212,04469224,14,0,5,01,D,105,D,2020,D,,A,24,D,10,D,220,D,3,D,,A,,A,1000,D,,A,,A,220,D,220,D,220,D,,A,,A,,A,1000,D,,A,D,,A,2019,D,HYU
20212,04469224,15,0,5,02,D,105,D,2019,D,,A,32,D,06,D,530,D,3,D,,A,,A,,C,,A,,A,530,D,530,D,530,D,,A,,A,,A,,B,,A,D,,A,2019,D,BUI
20212,04469494,16,0,5,03,D,105,D,2020,D,,A,36,D,08,D,290,D,3,D,,A,,A,,A,,A,,A,290,D,290,D,290,D,,A,,A,,A,,A,,A,D,,A,2020,D,CHE
20212,04470064,19,0,5,01,D,105,D,2018,D,,A,36,D,10,D,500,D,3,D,,A,,A,2000,D,,A,,A,500,D,500,D,500,D,,A,,A,,A,2000,D,,A,D,,A,2018,D,GMC
20212,04470624,8,0,5,01,D,105,D,2019,D,,A,3,D,06,D,531,D,3,D,,A,,A,,A,,A,04,F,531,D,531,D,531,D,,A,,A,,A,,A,,A,D,,A,2018,D,MIN
20212,04470624,9,0,1,02,D,105,D,2021,D,,A,36,D,06,D,641,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2021,D,BMW
20212,04470744,14,0,5,01,D,105,D,2019,D,,A,36,D,07,D,800,D,3,D,,A,,A,2000,D,,A,,A,800,D,800,D,800,D,,A,,A,,A,2000,D,,A,D,,A,2019,D,BMW
20212,04471234,15,0,5,01,D,105,D,2018,D,,A,36,D,01,D,256,D,3,D,,A,500,D,3500,D,,A,,A,256,D,256,D,256,D,,A,,A,,A,3500,D,,A,D,,A,2019,D,HON
20212,04471334,16,0,5,01,D,105,D,2019,D,,A,36,D,07,D,600,D,3,D,,A,,A,2000,D,,A,,A,600,D,600,D,600,D,,A,,A,,A,2000,D,,A,D,,A,2020,D,AUD
20212,04471734,22,0,5,01,D,105,D,2020,D,,A,36,D,03,D,415,D,3,D,,A,,A,,A,,A,,A,415,D,415,D,415,D,,A,,A,,A,,A,,A,D,,A,2020,D,TOY
20212,04471734,23,0,5,02,D,105,D,2020,D,,A,36,D,07,D,374,D,3,D,,A,,A,,A,,A,,A,374,D,374,D,374,D,,A,,A,,A,,A,,A,D,,A,2020,D,TOY
20212,04472004,12,0,5,01,D,105,D,,C,,A,36,D,04,D,315,D,3,D,,A,,A,,A,,A,,A,315,D,315,D,315,D,,A,,A,,A,,A,,A,A,,A,2019,D,
20212,04472044,16,0,5,01,D,105,D,2018,D,,A,36,D,12,D,291,D,3,D,,A,,A,,A,,A,,A,291,D,291,D,291,D,,A,,A,,A,,A,,A,D,,A,2019,D,FOR
20212,04472284,13,0,5,01,D,105,D,2017,D,,A,36,D,08,D,170,D,3,D,,A,,A,,A,,A,02,D,170,D,,A,,A,,A,,A,,A,,A,,A,D,,A,2017,D,TOY
20212,04472284,14,0,1,02,D,105,D,2021,D,,A,36,D,03,D,284,D,3,D,,A,,A,,A,,A,,A,,A,284,D,284,D,,A,,A,,A,,A,,A,D,,A,2021,D,TOY
20212,04472314,8,0,5,01,D,105,D,2018,D,,A,36,D,02,D,555,D,3,D,,A,,A,,A,,A,,A,555,D,555,D,555,D,,A,,A,,A,,A,,A,D,,A,2018,D,AUD
20212,04472714,11,0,5,01,D,105,D,2018,D,,A,36,D,09,D,645,D,3,D,,A,,A,,A,,A,,A,645,D,645,D,645,D,,A,,A,,A,,A,,A,D,,A,2018,D,MRB
20212,04503884,10,0,5,01,D,105,D,2019,D,,A,36,D,01,D,365,D,3,D,,A,,A,2000,D,,A,,A,365,D,365,D,365,D,,A,,A,,A,2000,D,,A,D,,A,2020,D,CHE
20212,04503974,9,0,5,01,D,105,D,2019,D,.05,D,36,D,02,D,,C,3,D,,A,,A,,C,,A,,A,1100,F,1100,F,1100,F,,A,,A,,A,,B,,A,D,,A,2019,D,AUD
20212,04503974,10,0,5,02,D,105,D,2019,D,,A,36,D,11,D,,C,3,D,,A,,A,,C,,A,,A,350,F,350,F,350,F,,A,,A,,A,,B,,A,D,,A,2018,D,MRB
20212,04503974,11,0,5,03,D,105,D,2018,D,,A,36,D,06,F,,C,3,D,,A,,A,,C,,A,,A,300,F,300,F,300,F,,A,,A,,A,,B,,A,D,,A,2017,D,TOY
20212,04504224,7,0,1,01,D,105,D,2019,D,,A,36,D,08,D,300,D,3,D,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2019,D,HON
20212,04504564,14,0,5,02,D,105,D,2018,D,,A,24,D,01,D,149,D,3,D,,A,,A,,A,,A,03,D,149,D,,A,,A,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20212,04504564,15,0,1,03,D,105,D,2020,D,,A,24,D,04,D,205,D,3,D,,A,,A,600,D,,A,,A,205,D,205,D,205,D,,A,,A,,A,600,D,,A,D,,A,2020,D,CHE
20212,04504774,15,0,5,02,D,105,D,2021,D,,A,36,D,01,D,285,D,3,D,,A,,A,2000,D,,A,,A,285,D,285,D,285,D,,A,,A,,A,2000,D,,A,D,,A,2021,D,SUB
20212,04505184,11,0,5,01,D,105,D,2018,D,,A,36,D,02,D,499,D,3,D,,A,,A,,A,,A,,A,499,D,499,D,499,D,,A,,A,,A,,A,,A,D,,A,2019,D,MAZ
20212,04505324,17,0,5,01,D,105,D,2016,D,,A,60,D,01,F,507,D,3,D,,A,1500,D,,A,,A,05,D,507,D,507,D,507,D,,A,,A,,A,,A,,A,D,,A,2017,D,FOR
20212,04506414,23,0,5,02,D,105,D,2020,D,,A,36,D,04,D,399,D,3,D,,A,1300,D,,A,,A,,A,,A,399,D,399,D,,A,,A,,A,,A,,A,D,,A,2021,D,FOR
20212,04506564,14,0,5,01,D,105,D,,C,,A,,C,05,F,425,D,3,D,,A,,A,,A,,A,,A,425,D,425,D,425,D,,A,,A,,A,,A,,A,D,,A,2019,F,ACU
20212,04506744,12,0,5,01,D,105,D,2019,D,,A,36,D,09,D,309,D,3,D,309,D,,A,3000,D,,A,,A,0,D,0,D,0,D,,A,,A,,A,3000,D,,A,D,,A,2020,D,BUI
20212,04507414,14,0,5,01,D,105,D,2020,D,,A,36,D,11,D,470,D,3,D,,A,,A,1500,D,,A,,A,470,D,470,D,470,D,,A,,A,,A,1500,D,,A,D,,A,2020,D,CHE
20212,04507414,15,0,5,02,D,105,D,2020,D,,A,42,D,12,D,424,D,3,D,,A,,A,1000,D,,A,,A,424,D,424,D,424,D,,A,,A,,A,1000,D,,A,D,,A,2019,D,JEE
20212,04507534,8,0,1,01,D,105,D,2020,D,,A,24,D,02,F,350,D,3,D,,A,,A,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2020,D,TOY
20212,04507954,25,0,5,01,D,105,D,2019,D,,A,36,D,03,D,343,D,3,D,,A,,A,,A,,A,,A,343,D,343,D,343,D,,A,,A,,A,,A,,A,D,,A,2019,D,HON
20212,04508384,13,0,1,01,D,105,D,2021,D,.50,D,36,D,03,D,491,D,3,D,,A,,A,,A,,A,,A,491,D,491,D,491,D,,A,,A,,A,,A,,A,D,,A,2021,D,VOK
20212,04508544,12,0,5,01,D,105,D,2020,D,,A,36,D,02,F,500,D,3,D,,A,,A,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2020,D,TOY
20212,04508724,34,0,5,01,D,105,D,2019,D,,A,36,D,02,D,375,D,3,D,,A,,A,350,D,,A,,A,375,D,375,D,375,D,,A,,A,,A,350,D,,A,D,,A,2020,D,NIS
20212,04509824,8,0,5,01,D,105,D,2020,D,,A,36,D,09,D,700,D,3,D,507,D,,A,4000,D,,A,,A,193,D,193,D,193,D,,A,,A,,A,4000,D,,A,D,,A,2020,D,TES
20212,04509824,9,0,1,02,D,105,D,2021,D,,A,48,D,05,D,400,D,3,D,400,D,,A,6560,D,,A,,A,,A,,A,0,D,,A,,A,,A,6560,D,,A,D,,A,2021,D,TES
20212,04510574,12,0,5,02,D,105,D,2016,D,,A,,C,03,D,260,D,3,D,,A,,A,,A,,A,,A,260,D,260,D,260,D,,A,,A,,A,,A,,A,D,,A,2016,D,KIA
20212,04510894,32,0,5,01,D,105,D,2020,D,,A,36,D,12,D,230,D,3,D,,A,,A,3000,D,,A,,A,230,D,230,D,230,D,,A,,A,,A,3000,D,,A,D,,A,2020,D,HON
20212,04512484,17,0,5,01,D,105,D,2020,D,,A,39,D,12,D,235,D,3,D,,A,8000,D,,A,,A,,A,235,D,235,D,235,D,,A,,A,,A,,A,,A,D,,A,2019,D,TOY
20212,04512634,10,0,5,01,D,105,D,2018,D,,A,36,D,07,D,338,D,3,D,,A,10000,D,2000,D,,A,04,F,338,D,338,D,338,D,,A,,A,,A,2000,D,,A,D,2021,D,2018,D,SUB
20212,04512724,21,0,5,01,D,105,D,2019,D,,A,36,D,09,D,300,D,3,D,,A,,A,3600,D,,A,,A,300,D,300,D,300,D,,A,,A,,A,3600,D,,A,D,,A,2019,D,TOY
20212,04512784,11,0,5,01,D,105,D,2018,D,,A,48,D,09,D,300,D,3,D,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2018,D,INF
20212,04512894,21,0,5,01,D,105,D,2021,D,,A,36,D,09,D,450,D,3,D,,A,,A,5000,D,,A,,A,450,D,450,D,450,D,,A,,A,,A,5000,D,,A,D,,A,2020,D,TOY
20212,04513054,19,0,1,01,D,105,D,2021,D,,A,36,D,04,D,385,D,3,D,,A,,A,1000,D,,A,,A,,A,385,D,385,D,,A,25,D,25,D,1000,D,,A,D,,A,2021,D,KIA
20212,04513084,19,0,5,02,D,105,D,2018,D,,A,36,D,09,F,417,D,3,D,,A,,A,2500,D,,A,,A,417,D,417,D,417,D,,A,,A,,A,2500,D,,A,D,,A,2018,D,LIN
20212,04513084,20,0,5,03,D,105,D,2020,D,,A,36,D,09,D,350,D,3,D,,A,,A,2863,D,,A,,A,350,D,350,D,350,D,,A,,A,,A,2863,D,,A,D,,A,2020,D,LIN
20212,04513244,10,0,5,01,D,105,D,2020,D,,A,36,D,02,D,470,D,3,D,,A,,A,3000,D,,A,,A,470,D,470,D,470,D,,A,,A,,A,3000,D,,A,D,,A,2021,D,GEN
20212,04513744,9,0,5,01,D,105,D,2019,D,,A,39,D,02,F,296,D,3,D,,A,,A,,A,,A,05,D,296,D,296,D,296,D,,A,,A,,A,,A,,A,D,,A,2019,D,JEE
20212,04513834,7,0,5,01,D,105,D,2018,D,,A,36,D,05,D,310,D,3,D,,A,,A,1000,D,,A,,A,310,D,310,D,310,D,,A,,A,,A,1000,D,,A,D,,A,2018,D,HON
20212,04513864,9,0,5,01,D,105,D,2018,D,,A,36,D,06,D,246,D,3,D,,A,,A,,A,,A,,A,246,D,246,D,246,D,,A,,A,,A,,A,,A,D,,A,2018,D,TOY
20212,04545183,17,0,5,01,D,105,D,2019,D,,A,39,D,09,D,1100,D,3,D,,A,,A,5000,D,,A,,A,1100,D,1100,D,1100,D,,A,,A,,A,5000,D,,A,D,,A,2018,D,INF
20212,04545903,10,0,5,01,D,105,D,2017,D,,A,36,D,02,D,150,D,3,D,,A,,A,1000,D,,A,03,D,150,D,150,D,150,D,,A,,A,,A,1000,D,,A,D,,A,2018,D,HON
20212,04545903,11,0,5,02,D,105,D,2018,D,,A,48,D,01,D,316,D,3,D,,A,,A,750,D,,A,,A,316,D,316,D,316,D,,A,,A,,A,750,D,,A,D,,A,2018,D,KIA
20212,04546263,11,0,5,01,D,105,D,2020,D,,A,36,D,12,D,187,D,3,D,,A,3000,D,,A,,A,,A,187,D,187,D,187,D,,A,,A,,A,,A,,A,D,,A,2020,D,HON
20212,04546663,18,0,5,01,D,105,D,2020,D,,A,36,D,09,D,750,D,3,D,,A,7000,D,,A,,A,,A,750,D,750,D,750,D,,A,,A,,A,,A,,A,D,,A,2020,D,MRB
20212,04546873,12,0,5,01,D,105,D,2018,D,,A,39,D,09,D,788,D,3,D,,A,,A,3000,D,,A,,A,788,D,788,D,788,D,,A,,A,,A,3000,D,,A,D,,A,2018,D,AUD
20212,04547063,12,0,5,01,D,105,D,2018,D,,A,36,D,06,D,530,D,3,D,,A,,A,,A,,A,,A,530,D,530,D,530,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20212,04547093,10,0,5,01,D,105,D,2019,D,,A,36,D,10,D,455,D,3,D,,A,,A,,A,,A,,A,455,D,455,D,455,D,,A,,A,,A,,A,,A,D,,A,2019,D,NIS
20212,04547693,12,0,5,02,D,105,D,2013,D,,A,24,D,06,D,380,D,3,D,,A,,A,13000,D,,A,,A,380,D,380,D,380,D,,A,,A,,A,13000,D,,A,D,,A,2020,D,DOD
20212,04547723,19,0,5,01,D,105,D,2020,D,,A,36,D,12,D,262,D,3,D,,A,,A,,A,,A,,A,262,D,262,D,262,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20212,04548563,9,0,5,01,D,105,D,2020,D,,A,36,D,06,D,264,D,3,D,,A,,A,4000,D,,A,,A,264,D,264,D,264,D,,A,,A,,A,4000,D,,A,D,,A,2020,D,SUB
20212,04548563,10,0,5,02,D,105,D,2019,D,,A,36,D,09,F,295,D,3,D,,A,,A,2000,D,,A,,A,295,D,295,D,295,D,,A,,A,,A,2000,D,,A,D,,A,2019,D,SUB
20212,04548633,9,0,5,01,D,105,D,2020,D,,A,36,D,10,D,613,D,3,D,,A,,A,,A,,A,,A,613,D,613,D,613,D,,A,,A,,A,,A,,A,D,,A,2020,D,HYU
20212,04548673,18,0,5,01,D,105,D,2019,D,,A,36,D,02,D,379,D,3,D,,A,,A,,A,,A,,A,379,D,379,D,379,D,,A,,A,,A,,A,,A,D,,A,2019,D,JEE
20212,04548673,19,0,5,02,D,105,D,2019,D,,A,36,D,08,D,489,D,3,D,,A,,A,,A,,A,,A,489,D,489,D,489,D,,A,,A,,A,,A,,A,D,,A,2019,D,DOD
20212,04549113,18,0,5,01,D,105,D,2019,D,,A,36,D,05,D,250,D,3,D,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,D,,A,2019,D,HON
20212,04549113,19,0,5,02,D,105,D,2019,D,,A,36,D,05,D,510,D,3,D,,A,,A,,A,,A,,A,510,D,510,D,510,D,,A,,A,,A,,A,,A,D,,A,2019,D,HON
