QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,RENTCODE,RENT_ODE,BSNSPCTZ,BSNS_CTZ,QADRENTX,QADR_NTX,ANYVACAT,ANYV_CAT
20222,05017411,34,0,1,105,D,,A,1400,D,1,D
20222,05018241,21,0,1,105,D,,A,662,D,1,D
20222,05018701,28,0,1,105,D,,A,300,D,1,D
20222,05018701,29,0,1,150,D,,A,230,D,1,D
20222,05019201,15,0,1,105,D,,A,500,D,1,D
20222,05019211,12,0,1,105,D,,A,75,D,1,D
20222,05020061,29,0,1,105,D,,A,158,D,1,D
20222,05020171,32,0,1,105,D,,A,450,D,1,D
20222,05022551,16,0,1,105,D,,A,700,D,2,D
20222,05022881,10,0,1,180,D,,A,230,D,2,D
20222,05023361,15,0,1,105,D,,A,500,D,1,D
20222,05024391,22,0,1,105,D,,A,278,D,1,D
20222,05026111,29,0,1,105,D,,A,900,D,1,D
20222,05026701,11,0,1,105,D,,A,250,D,1,D
20222,05027051,22,0,1,105,D,,A,378,D,1,D
20222,05029441,6,0,1,105,D,,A,650,D,2,D
20222,05029801,18,0,1,105,D,.90,D,300,D,1,D
20222,05029971,18,0,1,105,D,,A,900,D,1,D
20222,05030881,13,0,1,105,D,,A,191,D,1,D
20222,05031521,16,0,1,105,D,,A,150,D,1,D
20222,05032041,28,0,1,105,D,,A,100,D,1,D
20222,05033841,19,0,1,105,D,,A,600,D,1,D
20222,05035241,23,0,1,105,D,,A,700,D,1,D
20222,05037071,20,0,1,105,D,,A,250,D,1,D
20222,05037071,21,0,1,105,D,,A,250,D,1,D
20222,05037681,46,0,1,105,D,,A,300,D,1,D
20222,05037781,27,0,1,105,D,,A,120,D,2,D
20222,05038201,7,0,1,105,D,,A,60,D,1,D
20222,05038301,17,0,1,105,D,,A,350,D,1,D
20222,05039541,9,0,1,105,D,,A,750,D,2,D
20222,05039681,17,0,1,105,D,,A,579,D,1,D
20222,05040721,14,0,1,200,D,,A,30,D,2,D
20222,05041921,22,0,1,105,D,,A,100,D,1,D
20222,05042091,11,0,1,105,D,,A,700,D,1,D
20222,05043141,12,0,1,105,D,,A,800,D,2,D
20222,05043141,13,0,1,105,D,,A,900,D,2,D
20222,05043511,18,0,1,105,D,,A,500,D,1,D
20222,05043901,24,0,1,105,D,,A,551,D,1,D
20223,04895194,36,0,1,105,D,,A,30,D,2,D
20223,04896284,33,0,1,105,D,,A,20,D,2,D
20223,04897094,22,0,1,105,D,,A,550,D,2,D
20223,04898454,36,0,1,170,D,,A,75,D,2,D
20223,04898784,31,0,1,160,D,,A,1050,D,1,D
20223,04899474,19,0,1,105,D,,A,46,D,2,D
20223,04899594,30,0,1,105,D,,A,500,D,1,D
20223,04900854,40,0,1,105,D,,A,190,D,1,D
20223,04902684,21,0,1,105,D,,A,500,D,1,D
20223,04904104,26,0,1,105,D,,A,270,D,2,D
20223,04904194,6,0,1,105,D,,A,50,D,1,D
20223,04904754,12,0,1,105,D,,A,150,D,2,D
20223,04905104,41,0,1,105,D,,A,650,D,1,D
20223,04905284,21,0,1,105,D,,A,200,D,1,D
20223,04906714,7,0,1,105,D,,A,100,D,2,D
20223,04906844,42,0,1,160,D,1.0,D,0,D,2,D
20223,04906954,31,0,1,105,D,,A,350,D,1,D
20223,04908494,49,0,1,105,D,,A,1225,D,1,D
20223,04909084,43,0,1,105,D,,A,800,D,1,D
20223,04909324,32,0,1,105,D,,A,1639,D,1,D
20223,04912084,25,0,1,105,D,,A,160,D,2,D
20223,04913024,28,0,1,105,D,,A,735,D,1,D
20223,04914704,36,0,1,105,D,,A,175,D,2,D
20223,04915814,31,0,1,105,D,,A,1145,D,1,D
20223,04916424,34,0,1,105,D,,A,263,D,1,D
20223,04916424,35,0,1,105,D,,A,360,D,1,D
20223,04916474,35,0,1,150,D,,A,130,D,1,D
20223,04918864,29,0,1,105,D,,A,120,D,2,D
20223,04919514,21,0,1,105,D,,A,2400,D,1,D
20223,04920174,26,0,1,105,D,,A,400,D,1,D
20223,04920904,26,0,1,105,D,,A,400,D,1,D
20223,04922554,15,0,1,105,D,,A,400,D,2,D
20223,04923784,18,0,1,105,D,,A,700,D,1,D
20223,04925224,14,0,1,105,D,,A,600,D,1,D
20223,04925224,15,0,1,160,D,,A,1500,D,1,D
20223,04925654,26,0,1,105,D,,A,565,D,2,D
20223,04928044,42,0,1,180,D,,A,135,D,2,D
20223,04928204,15,0,1,105,D,,A,500,D,1,D
20223,04928204,16,0,1,160,D,,A,500,D,2,D
20223,04928744,29,0,1,170,D,,A,300,D,1,D
20223,04929314,34,0,1,105,D,,A,240,D,1,D
20223,04929774,13,0,1,105,D,,A,3652,D,2,D
20223,04930983,43,0,1,105,D,,A,500,D,1,D
20223,04932363,28,0,1,105,D,,A,600,D,1,D
20223,04932673,6,0,1,105,D,,A,100,D,1,D
20223,04932993,11,0,1,180,D,,A,85,D,2,D
20223,04933693,57,0,1,105,D,,A,356,D,1,D
20223,04934713,25,0,1,160,D,,A,246,D,1,D
20223,04935553,40,0,1,105,D,,A,259,D,1,D
20223,04935553,41,0,1,105,D,,A,210,D,1,D
20223,04935593,30,0,1,105,D,,A,200,D,1,D
20223,04936963,32,0,1,200,D,,A,115,D,2,D
20223,04938173,38,0,1,105,D,,A,595,D,1,D
20223,04939503,23,0,1,105,D,,A,250,D,2,D
20223,04940303,39,0,1,105,D,,A,360,D,1,D
20223,04940603,18,0,1,105,D,,A,1500,D,1,D
20223,04941493,10,0,1,200,D,,A,8,D,2,D
20223,04941583,20,0,1,105,D,,A,70,D,2,D
20223,04943653,46,0,1,105,D,,A,117,D,1,D
20223,04945413,31,0,1,105,D,,A,350,D,1,D
20223,04945413,32,0,1,160,D,,A,1500,D,1,D
20223,04947363,25,0,1,105,D,,A,400,D,1,D
20223,04948573,18,0,1,105,D,,A,126,D,2,D
20223,04951043,37,0,1,105,D,,A,280,D,2,D
20223,04953293,36,0,1,105,D,,A,420,D,1,D
20223,04956493,33,0,1,160,D,,A,600,D,1,D
20223,04959273,35,0,1,105,D,,A,1200,D,1,D
20223,04959553,40,0,1,105,D,,A,700,D,1,D
20223,04959623,20,0,1,105,D,,A,880,D,1,D
20223,04960343,43,0,1,105,D,,A,120,D,1,D
20223,04962523,27,0,1,105,D,,A,800,D,1,D
20223,04962693,23,0,1,105,D,,A,10,D,2,D
20223,04962903,25,0,1,105,D,,A,218,D,2,D
20223,04963373,45,0,1,105,D,,A,1900,D,1,D
20223,04964303,23,0,1,105,D,,A,1500,D,1,D
20223,05011722,9,0,1,105,D,,A,50,D,2,D
20223,05013112,22,0,1,105,D,,A,450,D,1,D
20223,05013432,24,0,1,105,D,,A,600,D,1,D
20223,05013812,18,0,1,105,D,,A,320,D,2,D
20223,05014862,20,0,1,105,D,,A,238,D,1,D
20223,05016662,38,0,1,105,D,,A,145,D,1,D
20223,05016662,39,0,1,105,D,,A,176,D,1,D
20223,05016902,20,0,1,105,D,,A,450,D,1,D
20223,05017672,27,0,1,105,D,,A,75,D,1,D
20223,05019542,34,0,1,180,D,,A,300,D,2,D
20223,05019722,43,0,1,160,D,,A,1200,D,1,D
20223,05021042,21,0,1,105,D,,A,528,D,1,D
20223,05021502,55,0,1,105,D,,A,1500,D,1,D
20223,05022552,29,0,1,105,D,,A,700,D,2,D
20223,05022552,30,0,1,105,D,,A,700,D,2,D
20223,05023112,31,0,1,105,D,,A,200,D,2,D
20223,05024552,17,0,1,200,D,,A,75,D,2,D
20223,05025882,27,0,1,105,D,.40,D,1650,D,1,D
20223,05026112,38,0,1,105,D,,A,2000,D,1,D
20223,05026702,12,0,1,105,D,,A,200,D,1,D
20223,05035002,29,0,1,105,D,,A,600,D,1,D
20223,05035472,34,0,1,105,D,,A,300,D,1,D
20223,05038842,24,0,1,160,D,,A,160,D,1,D
20223,05041032,35,0,1,105,D,,A,2360,D,1,D
20223,05041032,36,0,1,105,D,,A,208,D,1,D
20223,05041092,13,0,1,105,D,,A,1350,D,1,D
20223,05042182,23,0,1,105,D,,A,3282,D,1,D
20223,05042232,21,0,1,105,D,,A,50,D,2,D
20223,05042362,26,0,1,105,D,,A,700,D,1,D
20223,05042792,32,0,1,170,D,,A,40,D,2,D
20223,05042982,16,0,1,105,D,,A,175,D,2,D
20223,05042982,17,0,1,105,D,,A,75,D,2,D
20223,05044342,30,0,1,105,D,,A,1020,D,1,D
20223,05044942,23,0,1,105,D,,A,1500,D,1,D
20223,05090671,12,0,1,105,D,,A,460,D,1,D
20223,05091301,25,0,1,105,D,,A,500,D,1,D
20223,05091551,39,0,1,200,D,,A,130,D,2,D
20223,05092401,30,0,1,105,D,,A,300,D,1,D
20223,05092624,9,0,1,105,D,,A,130,D,1,D
20223,05092781,22,0,1,105,D,,A,699,D,1,D
20223,05093311,30,0,1,105,D,,A,600,D,2,D
20223,05093311,31,0,1,105,D,,A,300,D,2,D
20223,05093311,32,0,1,105,D,,A,600,D,2,D
20223,05094051,29,0,1,105,D,,A,19,D,2,D
20223,05094061,18,0,1,105,D,,A,240,D,1,D
20223,05096121,13,0,1,105,D,,A,280,D,2,D
20223,05096491,11,0,1,105,D,,A,800,D,1,D
20223,05096541,14,0,1,105,D,,A,380,D,1,D
20223,05096681,27,0,1,105,D,,A,200,D,1,D
20223,05096891,23,0,1,105,D,,A,882,F,2,D
20223,05097104,23,0,1,105,D,,A,6000,D,2,D
20223,05097521,39,0,1,105,D,,A,400,D,1,D
20223,05097551,29,0,1,105,D,,A,220,D,1,D
20223,05097721,37,0,1,105,D,,A,950,D,1,D
20223,05099311,18,0,1,105,D,,A,350,D,1,D
20223,05100231,22,0,1,105,D,,A,500,D,1,D
20223,05100491,24,0,1,180,D,,A,800,D,1,D
20223,05100951,55,0,1,105,D,,A,620,D,2,D
20223,05102581,70,0,1,105,D,,A,400,D,2,D
20223,05102891,39,0,1,105,D,,A,1700,D,1,D
20223,05103951,21,0,1,105,D,,A,320,D,1,D
20223,05105782,12,0,1,105,D,,A,50,D,1,D
20223,05105901,34,0,1,105,D,,A,30,D,2,D
20223,05106322,17,0,1,105,D,,A,882,F,1,D
20223,05106441,19,0,1,105,D,,A,100,D,1,D
20223,05107831,4,0,1,105,D,,A,135,D,2,D
20223,05108011,39,0,1,105,D,,A,4500,D,1,D
20223,05108111,25,0,1,160,D,,A,350,D,1,D
20223,05108371,25,0,1,170,D,,A,10,D,2,D
20223,05108452,25,0,1,105,D,,A,5000,D,1,D
20223,05108452,26,0,1,105,D,,A,300,D,2,D
20223,05109371,17,0,1,105,D,,A,150,D,1,D
20223,05109481,15,0,1,105,D,,A,568,D,1,D
20223,05109541,9,0,1,105,D,,A,220,D,1,D
20223,05110031,19,0,1,105,D,,A,500,D,1,D
20223,05110441,34,0,1,105,D,,A,300,D,1,D
20223,05111091,18,0,1,105,D,,A,86,D,2,D
20223,05111261,18,0,1,105,D,,A,600,D,1,D
20223,05111391,41,0,1,105,D,,A,650,D,1,D
20223,05111861,12,0,1,105,D,,A,350,D,1,D
20223,05111861,13,0,1,105,D,,A,150,D,1,D
20223,05112161,26,0,1,105,D,,A,300,D,1,D
20223,05112324,27,0,1,105,D,,A,200,D,1,D
20223,05112681,6,0,1,105,D,,A,149,D,2,D
20223,05113661,41,0,1,170,D,,A,15,D,1,D
20223,05113724,15,0,1,105,D,,A,45,D,2,D
20223,05115231,30,0,1,105,D,,A,800,D,2,D
20223,05115734,32,0,1,105,D,,A,450,D,2,D
20223,05115881,11,0,1,105,D,,A,3000,D,1,D
20223,05115971,11,0,1,105,D,,A,65,D,2,D
20223,05116421,29,0,1,160,D,,A,200,D,1,D
20223,05116621,24,0,1,105,D,,A,77,D,1,D
20223,05116971,19,0,1,105,D,,A,300,D,2,D
20223,05117001,33,0,1,170,D,,A,55,D,1,D
20223,05118841,11,0,1,105,D,,A,200,D,1,D
20223,05118991,17,0,1,150,D,,A,130,F,2,D
20223,05120671,30,0,1,105,D,,A,195,D,1,D
20223,05120671,31,0,1,105,D,,A,205,D,1,D
20223,05121711,25,0,1,105,D,,A,360,D,2,D
20223,05122012,23,0,1,105,D,,A,3500,D,1,D
20223,05123161,24,0,1,105,D,,A,270,D,1,D
20223,05123341,18,0,1,105,D,,A,100,D,2,D
20223,05123351,25,0,1,160,D,,A,1800,D,1,D
20223,05124391,24,0,1,105,D,,A,700,D,1,D
20223,05124791,38,0,1,105,D,,A,350,D,1,D
20224,04931424,11,0,1,105,D,,A,30,D,2,D
20224,04931664,38,0,1,105,D,,A,800,D,1,D
20224,04933694,63,0,1,105,D,,A,467,D,1,D
20224,04935204,9,0,1,150,D,,A,60,D,1,D
20224,04935554,41,0,1,105,D,,A,400,D,2,D
20224,04936634,32,0,1,105,D,,A,330,D,1,D
20224,04937374,21,0,1,105,D,,A,600,D,2,D
20224,04938204,39,0,1,170,D,,A,125,D,1,D
20224,04938664,36,0,1,105,D,,A,400,D,1,D
20224,04940304,39,0,1,105,D,,A,385,D,1,D
20224,04941694,30,0,1,105,D,,A,526,D,1,D
20224,04942054,24,0,1,105,D,,A,250,D,1,D
20224,04942614,52,0,1,105,D,,A,280,D,1,D
20224,04943344,9,0,1,105,D,,A,600,D,1,D
20224,04945874,17,0,1,160,D,,A,350,D,2,D
20224,04946104,20,0,1,105,D,,A,1400,D,1,D
20224,04946564,36,0,1,105,D,,A,780,D,1,D
20224,04947154,36,0,1,105,D,,A,1300,D,1,D
20224,04947154,37,0,1,105,D,,A,150,D,2,D
20224,04947694,39,0,1,105,D,,A,250,D,2,D
20224,04948624,41,0,1,105,D,,A,300,D,1,D
20224,04948624,42,0,1,105,D,,A,225,D,1,D
20224,04949894,16,0,1,105,D,,A,750,D,2,D
20224,04949894,17,0,1,105,D,,A,2300,D,2,D
20224,04950134,20,0,1,105,D,,A,520,D,2,D
20224,04952524,13,0,1,105,D,,A,400,D,1,D
20224,04953484,14,0,1,105,D,,A,300,D,1,D
20224,04953524,67,0,1,105,D,,A,11,D,1,D
20224,04956694,35,0,1,105,D,,A,98,D,2,D
20224,04957154,51,0,1,105,D,,A,300,D,2,D
20224,04959894,30,0,1,105,D,,A,415,D,1,D
20224,04961274,11,0,1,105,D,,A,400,D,1,D
20224,04963124,11,0,1,105,D,,A,1000,D,1,D
20224,04963154,35,0,1,160,D,,A,400,D,1,D
20224,04963354,44,0,1,200,D,,A,500,D,1,D
20224,04964304,23,0,1,105,D,,A,800,D,1,D
20224,04965154,34,0,1,105,D,,A,850,D,1,D
20224,05011713,13,0,1,105,D,,A,1500,D,1,D
20224,05011713,14,0,1,160,D,,A,600,D,1,D
20224,05012543,48,0,1,105,D,,A,1330,D,1,D
20224,05012653,38,0,1,180,D,,A,50,D,2,D
20224,05013453,35,0,1,105,D,,A,200,D,1,D
20224,05015143,15,0,1,105,D,,A,750,D,1,D
20224,05016963,19,0,1,105,D,,A,150,D,1,D
20224,05017893,32,0,1,105,D,,A,160,D,1,D
20224,05018103,53,0,1,105,D,,A,231,D,2,D
20224,05018103,54,0,1,180,D,,A,123,D,2,D
20224,05018363,44,0,1,105,D,,A,1138,D,1,D
20224,05018373,17,0,1,105,D,,A,1000,D,1,D
20224,05018703,37,0,1,105,D,,A,550,D,1,D
20224,05019583,25,0,1,105,D,,A,1700,D,1,D
20224,05019703,16,0,1,160,D,,A,200,D,1,D
20224,05020203,24,0,1,105,D,,A,50,D,2,D
20224,05021473,32,0,1,105,D,,A,200,D,1,D
20224,05024393,53,0,1,180,D,,A,120,D,1,D
20224,05025223,32,0,1,105,D,,A,523,D,2,D
20224,05026803,29,0,1,105,D,,A,200,D,1,D
20224,05026803,30,0,1,160,D,,A,250,D,1,D
20224,05026963,35,0,1,105,D,,A,500,D,2,D
20224,05026993,13,0,1,105,D,,A,250,D,1,D
20224,05027563,27,0,1,105,D,,A,695,D,1,D
20224,05029183,48,0,1,105,D,,A,235,D,1,D
20224,05030233,14,0,1,105,D,,A,249,D,2,D
20224,05032253,47,0,1,170,D,,A,40,D,2,D
20224,05032403,36,0,1,105,D,,A,330,D,1,D
20224,05033303,11,0,1,105,D,,A,500,D,2,D
20224,05033553,24,0,1,105,D,,A,150,D,1,D
20224,05035073,29,0,1,105,D,,A,150,D,1,D
20224,05035473,39,0,1,105,D,,A,500,D,1,D
20224,05037173,42,0,1,105,D,,A,745,D,1,D
20224,05037493,13,0,1,105,D,,A,110,D,2,D
20224,05037493,14,0,1,180,D,,A,42,D,2,D
20224,05038843,27,0,1,160,D,,A,400,D,1,D
20224,05038933,27,0,1,105,D,,A,275,D,2,D
20224,05040193,14,0,1,105,D,,A,1000,D,1,D
20224,05040504,26,0,1,105,D,,A,140,D,1,D
20224,05042363,22,0,1,105,D,,A,800,D,1,D
20224,05044753,25,0,1,105,D,1.0,D,0,D,2,D
20224,05090912,29,0,1,170,D,,A,45,D,2,D
20224,05091172,24,0,1,105,D,,A,337,D,2,D
20224,05091452,12,0,1,105,D,,A,114,D,2,D
20224,05091882,37,0,1,160,D,,A,150,D,2,D
20224,05092402,53,0,1,105,D,,A,325,D,1,D
20224,05092782,26,0,1,105,D,,A,417,F,1,D
20224,05093362,34,0,1,105,D,,A,161,D,1,D
20224,05094042,31,0,1,200,D,,A,150,D,2,D
20224,05094062,28,0,1,105,D,,A,225,D,1,D
20224,05094812,43,0,1,105,D,,A,1450,D,1,D
20224,05095562,60,0,1,105,D,,A,172,D,1,D
20224,05095632,34,0,1,105,D,,A,640,D,1,D
20224,05096492,14,0,1,105,D,,A,280,D,2,D
20224,05096892,29,0,1,105,D,,A,200,D,1,D
20224,05097372,7,0,1,200,D,,A,5,D,2,D
20224,05097792,10,0,1,105,D,,A,280,D,1,D
20224,05098692,33,0,1,105,D,,A,450,D,1,D
20224,05099942,37,0,1,170,D,,A,260,D,1,D
20224,05100492,29,0,1,135,D,,A,600,D,1,D
20224,05101912,20,0,1,105,D,,A,200,D,1,D
20224,05102562,48,0,1,105,D,,A,212,D,1,D
20224,05103032,23,0,1,105,D,,A,220,D,2,D
20224,05103732,24,0,1,105,D,,A,2300,D,2,D
20224,05105132,32,0,1,105,D,,A,200,D,1,D
20224,05105402,11,0,1,105,D,,A,460,D,1,D
20224,05105632,35,0,1,105,D,,A,250,D,2,D
20224,05106202,32,0,1,105,D,,A,50,D,2,D
20224,05106382,25,0,1,105,D,,A,110,D,2,D
20224,05109062,62,0,1,105,D,,A,120,D,1,D
20224,05109092,18,0,1,105,D,,A,2000,D,2,D
20224,05109542,11,0,1,105,D,,A,145,D,1,D
20224,05110192,31,0,1,180,D,,A,50,D,2,D
20224,05110502,32,0,1,105,D,,A,350,D,1,D
20224,05111392,47,0,1,105,D,,A,400,D,1,D
20224,05111392,48,0,1,105,D,,A,336,D,1,D
20224,05112392,12,0,1,105,D,,A,417,F,2,D
20224,05113682,33,0,1,105,D,,A,700,D,1,D
20224,05115092,18,0,1,105,D,,A,600,D,2,D
20224,05115132,21,0,1,105,D,,A,200,D,1,D
20224,05115232,40,0,1,105,D,,A,500,D,2,D
20224,05115292,22,0,1,105,D,,A,2000,D,2,D
20224,05115712,27,0,1,105,D,,A,117,D,1,D
20224,05116192,12,0,1,105,D,,A,800,D,1,D
20224,05116302,27,0,1,105,D,,A,110,D,1,D
20224,05116972,29,0,1,105,D,,A,1800,D,1,D
20224,05117982,36,0,1,105,D,,A,570,D,1,D
20224,05119452,36,0,1,105,D,,A,480,D,1,D
20224,05120042,37,0,1,105,D,,A,350,D,1,D
20224,05120382,33,0,1,105,D,,A,80,D,2,D
20224,05121712,25,0,1,105,D,,A,900,D,2,D
20224,05124402,30,0,1,105,D,,A,200,D,1,D
20224,05124452,26,0,1,105,D,,A,450,D,1,D
20224,05124862,37,0,1,105,D,,A,900,D,1,D
20224,05124932,21,0,1,105,D,,A,100,D,1,D
20224,05125022,28,0,1,105,D,,A,325,D,1,D
20224,05202351,12,0,1,105,D,,A,1100,D,1,D
20224,05202451,21,0,1,105,D,,A,119,D,2,D
